40737,mangadatadb,spaxel,7.27E+07,3193081012224,9771499520,3134117724160,49191788544,46 GB,9319 MB,2919 GB,46 GB
40745,mangadatadb,target_type,3,32768,16384,8192,8192,8192 bytes,16 kB,8192 bytes,8192 bytes
40753,mangadatadb,test_rssfiber,0,16384,8192,8192,0,0 bytes,8192 bytes,8192 bytes,0 bytes
40761,mangadatadb,test_spaxel,0,32768,24576,8192,0,0 bytes,24 kB,8192 bytes,0 bytes
40769,mangadatadb,wavelength,1,335872,286720,40960,8192,8192 bytes,280 kB,40 kB,8192 bytes
40777,mangadatadb,wcs,23887,5578752,573440,8192,4997120,4880 kB,560 kB,8192 bytes,4880 kB
40785,mangasampledb,anime,0,16384,8192,8192,0,0 bytes,8192 bytes,8192 bytes,0 bytes
40793,mangasampledb,catalogue,1,32768,16384,8192,8192,8192 bytes,16 kB,8192 bytes,8192 bytes
40801,mangasampledb,character,0,16384,8192,8192,0,0 bytes,8192 bytes,8192 bytes,0 bytes
40809,mangasampledb,current_catalogue,1,24576,16384,NULL,8192,8192 bytes,16 kB,NULL,8192 bytes
40814,mangasampledb,manga_target,48056,3235840,1097728,8192,2129920,2080 kB,1072 kB,8192 bytes,2080 kB
40822,mangasampledb,manga_target_to_manga_target,0,8192,8192,NULL,0,0 bytes,8192 bytes,NULL,0 bytes
40827,mangasampledb,manga_target_to_nsa,41274,4661248,2826240,NULL,1835008,1792 kB,2760 kB,NULL,1792 kB
40832,mangasampledb,nsa,41260,350363648,8478720,257384448,84500480,81 MB,8280 kB,245 MB,81 MB
780173719,mangadapdb,spaxelprop7,3.21E+07,157002727424,25601736704,NULL,131400990720,122 GB,24 GB,NULL,122 GB
809839595,mangadapdb,cleanspaxelprop7,1.18E+07,56445239296,7972700160,NULL,48472539136,45 GB,7603 MB,NULL,45 GB
809870163,mangadatadb,tempspaxeldiff,2598,163840,0,NULL,163840,160 kB,0 bytes,NULL,160 kB
809870166,mangadatadb,temprssdiff,2598,139264,0,NULL,139264,136 kB,0 bytes,NULL,136 kB
810094934,mangadapdb,spaxelprop8,6.61E+07,544302989312,2995929088,NULL,541307060224,504 GB,2857 MB,NULL,504 GB
1233347407,mangadapdb,cleanspaxelprop8,2.43E+07,216728215552,17482383360,NULL,199245832192,186 GB,16 GB,NULL,186 GB
